"Area_name","Value_label","Significance_England","Indicator_short_name","Time_period","Figure_ID","Hex_ID","Source","Fingertips_ID","Sex","Age","Life_course","At_ICT_level","Indicator_label","Polarity","x","y"
"Brighton and Hove North","5.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Brighton and Hove East","5.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Brighton and Hove Central","5.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Brighton and Hove West","5.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"England","5%","Not applicable","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Brighton and Hove","5.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Eastbourne","6.1%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Hastings","7.3%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Lewes","4.3%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Rother","4.4%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Wealden","3%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Adur","4.3%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Arun","4.4%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Chichester","3.9%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Crawley","6%","Worse","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Horsham","2.7%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Mid Sussex","2.4%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Worthing","4.5%","Better","Working_age_out_of_work","2021/22","Building blocks 1",1,"OHID Fingertips",93097,"Persons","Working age",,"LTLA","People of working age on out of work benefits.","Lower is better",1.5,1.5
"Brighton and Hove Central","13.1%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Brighton and Hove East","12%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Brighton and Hove North","11.2%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Brighton and Hove West","9.6%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"England","13.1%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Brighton and Hove","11.6%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Eastbourne","10.1%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Hastings","13.9%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Lewes","9%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Rother","11.2%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
